Feature_1,Feature_2,Target
1.508454985,-1.547009753,0
0.826021382,1.002540973,1
1.524204975,-2.29714286,0
0.621880067,0.55937142,0
0.539099733,0.88236937,1
1.762217962,-1.260726298,0
1.251010599,1.379395978,1
-0.249552409,0.368251491,1
0.89777711,1.194304161,1
2.101173548,1.819941474,1
3.159973625,-3.423462966,0
1.893096985,-3.113270727,0
0.825885001,-2.027488144,0
1.0549,1.162973369,1
0.636121142,0.650689935,0
1.292352807,1.342255922,1
1.446116447,1.405699594,1
0.605575841,-0.929081227,0
0.499461285,-1.904261187,0
2.781445428,-1.876670724,0
2.281525021,-1.87344458,0
2.234987995,1.99257599,1
1.991764335,-2.44288103,0
1.59767386,1.579624658,1
-0.155458394,0.408061945,1
-0.814698945,0.125343713,1
3.551643858,2.755453145,1
3.365142406,-1.995259431,0
2.373846616,-3.969764188,0
1.013782804,1.087662641,1
2.339760182,2.010729387,1
1.169770379,1.376300791,1
1.583891733,-0.58431546,0
1.696683412,-1.134458516,0
1.400608217,-0.583861201,0
0.220630026,0.630983937,0
1.383751789,-1.196766518,0
1.533467742,1.549875048,1
2.192904082,-4.012558032,0
1.285757848,1.44095694,1
2.914541571,-2.817900742,0
1.755992055,-3.763631733,0
0.722673353,0.482991345,0
0.686406796,-0.578287711,0
-0.71764667,0.21777796,0
1.438303374,1.365709505,1
2.190850447,-3.471494793,0
2.395813792,2.045289307,1
0.299270661,1.435778513,0
1.166922189,1.353822443,1
1.682911673,-2.007507192,0
2.986683278,2.305859683,1
2.338572477,-2.281747327,0
3.315111828,-2.829573504,0
1.126892625,-1.204905197,0
0.756829954,-1.09912807,0
2.356421882,1.936577348,1
1.40086552,-0.539585686,0
2.916944601,2.355670373,1
1.538967012,1.52458131,1
1.966683317,1.887156555,1
1.021598686,1.197673836,1
1.962018027,1.715441587,1
2.295581828,1.987489259,1
2.073659262,1.885746514,1
1.779903835,-2.011334198,0
-0.049381663,0.565888879,1
2.15498592,1.875577777,1
0.591171622,0.616167344,0
2.019132527,1.856494565,1
3.70824798,2.862987738,1
2.08494729,1.988301772,1
1.891837206,1.64201059,1
0.5872281,0.960841802,1
1.035338426,1.247514823,1
1.176163064,1.255823984,1
1.90217028,1.654676279,1
1.881908317,1.775261945,1
1.510205159,-0.964240026,0
2.113287958,1.944047738,1
1.610342358,1.542882093,1
0.971141643,1.055589477,1
3.341456697,2.529294868,1
1.392662034,-1.710955849,0
3.442825251,-5.003451969,0
1.553070887,-0.012267977,0
0.753208925,-0.292977661,0
2.490221979,-2.184523857,0
0.753771703,1.075258175,1
1.733439707,1.785921281,1
1.750933819,-1.458555003,0
2.806036408,-1.747799333,0
3.284338804,2.696139651,1
1.496362244,-0.800720664,0
1.951955996,1.749804145,1
2.224341366,1.81393545,1
1.031685872,-0.469637557,0
2.476386147,-3.300349395,0
2.027943055,-1.158916631,0
1.364016801,-1.93043932,0
1.502307189,-2.501850406,0
0.514904167,-0.972263613,0
1.52907297,-1.220129415,0
1.723427163,1.656533017,1
1.128041016,-2.596052207,0
1.400840501,-2.280637382,0
0.790070723,-0.477640996,0
0.959956646,-1.413937797,0
-0.2385946,0.406121326,1
0.753271912,-0.438671179,0
0.811142471,1.089987638,1
2.209506062,1.849564066,1
2.287303373,-3.002224264,0
1.728099381,-1.140634051,0
0.589059807,-0.064602833,0
1.991983341,1.796981368,1
0.57936047,-0.357724673,0
1.456381742,-0.53036451,0
1.195858005,1.323583456,1
2.559130771,-3.244403263,0
1.052168005,1.249921713,1
-0.533687922,0.349127312,1
1.337847746,-1.614198662,0
2.218416493,2.037359151,1
0.291657384,0.751396769,1
2.056723907,1.843136935,1
1.277710788,-0.863268157,0
1.403895172,1.465145887,1
0.475782626,-1.141225992,0
2.862816852,-3.056813269,0
0.798304824,1.002512217,1
2.640666449,-2.74182937,0
1.598199806,1.546820816,1
1.819323396,1.734633388,1
0.03554607,0.610312472,1
2.607283422,2.221683108,1
1.276380864,-1.07083847,0
0.115301489,-0.177351675,0
1.675450386,1.612116269,1
2.144970952,1.827525604,1
0.152826042,-0.108731892,0
1.713224363,-1.061085254,0
2.079683619,-3.359960301,0
2.11677559,-1.17663684,0
3.1203283,2.57582499,1
2.32577166,-2.652153945,0
0.742307402,-0.436725722,0
0.741597692,-0.809724386,0
1.47223121,1.540108789,1
1.044980881,1.247748482,1
2.443004816,-1.850025952,0
1.520061068,-2.331762035,0
1.069607909,1.311712207,1
1.125163883,1.251154256,1
0.267127964,-1.207671147,0
1.599448837,1.480628154,1
1.467474272,1.347485315,1
3.339748675,2.736830747,1
0.656585875,0.064334636,0
1.493772933,-3.689489945,0
0.880688155,-1.009731629,0
1.369094362,1.295357785,1
1.527916783,1.582278552,1
1.809711104,-2.500415307,0
-1.412367925,2.454419221,0
2.465723796,-4.078615764,0
2.128562418,2.013894985,1
1.744617469,1.742600835,1
1.373192362,-0.42027841,0
2.87332077,-3.409799192,0
2.073990653,1.807184875,1
3.199682415,-1.74910199,0
-0.000664467,0.535220735,1
1.647437733,-2.073663022,0
0.723304576,1.019378295,1
1.523495833,1.469012802,1
3.044720667,-3.870560892,0
2.235033511,-2.160165193,1
0.059478275,0.530778457,0
1.501930633,1.464803824,1
2.636951202,2.279696831,1
1.416169655,-1.884969523,0
0.134470243,0.357289427,0
1.146982614,1.221390698,1
-0.051301393,0.619792743,0
2.967408459,2.509793344,1
1.460007599,-1.224001662,0
1.374236648,-1.12185128,0
1.562514285,-1.969196881,0
1.953114244,-3.501323294,0
0.174801642,0.643533842,1
1.336564837,1.443057518,1
0.321481173,0.840078982,1
2.556101469,2.180845378,1
1.664695808,-2.458906482,0
0.311793866,0.842014665,0
2.15054506,1.920405578,1
1.500535379,1.463717039,1
1.398046146,1.475781851,1
2.30246927,2.079100171,1
3.347807061,2.630696656,1
0.714671258,-1.292164212,0
2.223272069,2.073321689,1
0.799109108,-0.65473417,0
0.689867441,1.032366733,1
0.781044487,0.900041574,1
1.920670011,1.780451931,1
2.046518465,1.936027271,1
3.220492967,2.526042723,1
2.278136455,-0.9156298,0
2.386094647,-2.97741926,0
1.354102853,1.318315813,1
2.806857826,-1.789082003,0
1.08309658,1.396846716,1
0.931032926,1.066882454,1
1.597972584,-2.868447751,0
1.922560836,1.729398279,1
0.709128464,0.968078569,1
1.223664315,-0.594722721,0
0.436008372,0.608315097,0
0.632761314,0.913786507,1
2.963261917,2.444049231,1
1.076582953,1.33824122,1
1.505152457,1.421665776,1
0.811387736,1.077776481,1
2.068960651,-1.78702943,0
2.746545641,-2.420132213,0
4.278559709,-5.387584279,0
