X,Y
1,11
2,27
3,7
4,-4
5,27
6,-5
7,11
8,32
9,54
10,18
11,25
12,16
13,19
14,35
15,67
16,53
17,60
18,47
19,29
20,51
21,85
22,37
23,62
24,85
25,74
26,85
27,52
28,113
29,77
30,92
31,74
32,123
33,90
34,115
35,99
36,126
37,107
38,142
39,128
40,117
41,152
42,111
43,113
44,148
45,155
46,151
47,165
48,165
49,173
50,122
51,159
52,176
53,135
54,152
55,143
56,176
57,158
58,147
59,171
60,209
61,166
62,205
63,216
64,170
65,190
66,220
67,172
68,193
69,204
70,226
71,242
72,192
73,232
74,199
75,241
76,232
77,214
78,220
79,242
80,259
81,252
82,219
83,220
84,227
85,278
86,269
87,234
88,287
89,265
90,257
91,268
92,289
93,282
94,261
95,290
96,271
97,291
98,311
99,281
100,277
